fantasy_player_id,player_first_name,player_last_name,nba_player_id
410.p.3704,LeBron,James,2544.0
410.p.3706,Carmelo,Anthony,2546.0
410.p.3754,Kyle,Korver,2594.0
410.p.3765,Udonis,Haslem,2617.0
410.p.3818,Dwight,Howard,2730.0
410.p.3826,Andre,Iguodala,2738.0
410.p.3847,Anderson,Varejao,2760.0
410.p.3860,Trevor,Ariza,2772.0
410.p.3928,Marvin,Williams,101107.0
410.p.3930,Chris,Paul,101108.0
410.p.3944,Gerald,Green,101123.0
410.p.3960,C.J.,Miles,101139.0
410.p.3962,Ersan,Ilyasova,101141.0
410.p.3971,Lou,Williams,101150.0
410.p.4130,LaMarcus,Aldridge,200746.0
410.p.4136,Rudy,Gay,200752.0
410.p.4139,JJ,Redick,200755.0
410.p.4149,Rajon,Rondo,200765.0
410.p.4152,Kyle,Lowry,200768.0
410.p.4163,P.J.,Tucker,200782.0
410.p.4175,Paul,Millsap,200794.0
410.p.4244,Kevin,Durant,201142.0
410.p.4245,Al,Horford,201143.0
410.p.4246,Mike,Conley,201144.0
410.p.4247,Jeff,Green,201145.0
410.p.4290,Thaddeus,Young,201152.0
410.p.4300,Jared,Dudley,201162.0
410.p.4325,Marc,Gasol,201188.0
410.p.4371,Anthony,Tolliver,201229.0
410.p.4387,Derrick,Rose,201565.0
410.p.4388,Michael,Beasley,201563.0
410.p.4390,Russell,Westbrook,201566.0
410.p.4391,Kevin,Love,201567.0
410.p.4468,Danilo,Gallinari,201568.0
410.p.4469,Eric,Gordon,201569.0
410.p.4471,D.J.,Augustin,201571.0
410.p.4472,Brook,Lopez,201572.0
410.p.4473,Jerryd,Bayless,201573.0
410.p.4477,Robin,Lopez,201577.0
410.p.4480,JaVale,McGee,201580.0
410.p.4483,Ryan,Anderson,201583.0
410.p.4484,Courtney,Lee,201584.0
410.p.4486,Serge,Ibaka,201586.0
410.p.4487,Nicolas,Batum,201587.0
410.p.4488,George,Hill,201588.0
410.p.4497,DeAndre,Jordan,201599.0
410.p.4498,Luc Richard,Mbah a Moute,201601.0
410.p.4507,Goran,Dragic,201609.0
410.p.4561,Blake,Griffin,201933.0
410.p.4563,James,Harden,201935.0
410.p.4610,Ricky,Rubio,201937.0
410.p.4612,Stephen,Curry,201939.0
410.p.4614,DeMar,DeRozan,201942.0
410.p.4621,James,Johnson,201949.0
410.p.4622,Jrue,Holiday,201950.0
410.p.4624,Jeff,Teague,201952.0
410.p.4631,Taj,Gibson,201959.0
410.p.4632,DeMarre,Carroll,201960.0
410.p.4633,Wayne,Ellington,201961.0
410.p.4646,Jodie,Meeks,201975.0
410.p.4647,Patrick,Beverley,201976.0
410.p.4651,Danny,Green,201980.0
410.p.4660,Patty,Mills,201988.0
410.p.4682,Garrett,Temple,202066.0
410.p.4694,Wesley,Matthews,202083.0
410.p.4716,John,Wall,202322.0
410.p.4718,Derrick,Favors,202324.0
410.p.4720,DeMarcus,Cousins,202326.0
410.p.4723,Al-Farouq,Aminu,202329.0
410.p.4724,Gordon,Hayward,202330.0
410.p.4725,Paul,George,202331.0
410.p.4728,Ed,Davis,202334.0
410.p.4729,Patrick,Patterson,202335.0
410.p.4749,Eric,Bledsoe,202339.0
410.p.4750,Avery,Bradley,202340.0
410.p.4764,Hassan,Whiteside,202355.0
410.p.4766,Nemanja,Bjelica,202357.0
410.p.4800,Ish,Smith,202397.0
410.p.4833,Elijah,Millsap,202407.0
410.p.4840,Kyrie,Irving,202681.0
410.p.4884,Tristan,Thompson,202684.0
410.p.4886,Jonas,Valanciunas,202685.0
410.p.4888,Bismack,Biyombo,202687.0
410.p.4889,Brandon,Knight,202688.0
410.p.4890,Kemba,Walker,202689.0
410.p.4892,Klay,Thompson,202691.0
410.p.4893,Alec,Burks,202692.0
410.p.4894,Markieff,Morris,202693.0
410.p.4895,Marcus,Morris Sr.,202694.0
410.p.4896,Kawhi,Leonard,202695.0
410.p.4897,Nikola,Vucevic,202696.0
410.p.4898,Iman,Shumpert,202697.0
410.p.4899,Enes,Freedom,202683.0
410.p.4901,Tobias,Harris,202699.0
410.p.4904,Kenneth,Faried,202702.0
410.p.4906,Reggie,Jackson,202704.0
410.p.4911,Cory,Joseph,202709.0
410.p.4912,Jimmy,Butler,202710.0
410.p.4913,Bojan,Bogdanovic,202711.0
410.p.4916,Shelvin,Mack,202714.0
410.p.4926,Davis,Bertans,202722.0
410.p.4937,E'Twaun,Moore,202734.0
410.p.4942,Isaiah,Thomas,202738.0
410.p.4966,Lance,Thomas,202498.0
410.p.4969,Brad,Wanamaker,202954.0
410.p.5007,Anthony,Davis,203076.0
410.p.5008,Michael,Kidd-Gilchrist,203077.0
410.p.5009,Bradley,Beal,203078.0
410.p.5010,Dion,Waiters,203079.0
410.p.5012,Damian,Lillard,203081.0
410.p.5013,Harrison,Barnes,203084.0
410.p.5014,Terrence,Ross,203082.0
410.p.5015,Andre,Drummond,203083.0
410.p.5016,Austin,Rivers,203085.0
410.p.5017,Meyers,Leonard,203086.0
410.p.5018,Jeremy,Lamb,203087.0
410.p.5020,John,Henson,203089.0
410.p.5021,Moe,Harkless,203090.0
410.p.5023,Tyler,Zeller,203092.0
410.p.5054,Evan,Fournier,203095.0
410.p.5058,Jared,Cunningham,203099.0
410.p.5066,Tomas,Satoransky,203107.0
410.p.5068,Jae,Crowder,203109.0
410.p.5069,Draymond,Green,203110.0
410.p.5073,Khris,Middleton,203114.0
410.p.5074,Will,Barton,203115.0
410.p.5077,Mike,Scott,203118.0
410.p.5080,Darius,Miller,203121.0
410.p.5102,Kent,Bazemore,203145.0
410.p.5142,Justin,Holiday,203200.0
410.p.5150,Aron,Baynes,203382.0
410.p.5153,Victor,Oladipo,203506.0
410.p.5154,Otto,Porter Jr.,203490.0
410.p.5155,Cody,Zeller,203469.0
410.p.5156,Alex,Len,203458.0
410.p.5157,Nerlens,Noel,203457.0
410.p.5158,Ben,McLemore,203463.0
410.p.5159,Kentavious,Caldwell-Pope,203484.0
410.p.5160,Trey,Burke,203504.0
410.p.5161,CJ,McCollum,203468.0
410.p.5162,Michael,Carter-Williams,203487.0
410.p.5163,Steven,Adams,203500.0
410.p.5164,Kelly,Olynyk,203482.0
410.p.5185,Giannis,Antetokounmpo,203507.0
410.p.5187,Dennis,Schroder,203471.0
410.p.5190,Tony,Snell,203503.0
410.p.5191,Gorgui,Dieng,203476.0
410.p.5192,Mason,Plumlee,203486.0
410.p.5193,Solomon,Hill,203524.0
410.p.5194,Tim,Hardaway Jr.,203501.0
410.p.5195,Reggie,Bullock,203493.0
410.p.5196,Andre,Roberson,203460.0
410.p.5197,Rudy,Gobert,203497.0
410.p.5201,Allen,Crabbe,203459.0
